Entreprise,PER,ROE,Croissance CA,Dividende,Secteur,PB,beta
Crcam Loire Hte L.,6.8790035,0.02623,0.046,0.0476,Financial Services,0.17754579,0.565
Crcam Morbihan Cci,5.876777,0.02789,0.06,0.0463,Financial Services,0.15896294,0.441
Crcam Nord Cci,4.4701986,0.03259,0.064,0.0481,Financial Services,0.14087005,0.57
Crcam Norm.Seine,5.8593187,0.02915,0.022,0.0458,Financial Services,0.16461477,0.718
Crcam Paris Et Idf,7.142857,0.03011,-0.048,0.049200002,Financial Services,0.20826916,0.534
Crcam Sud R.A.Cci,5.6206584,0.03196,0.025,0.0481,Financial Services,0.17275603,0.579
Crcam Touraine Cci,4.0878377,0.04235,0.005,0.0428,Financial Services,0.16612549,0.61
Credit Agricole,6.585,0.09827,0.024,0.0806,Financial Services,0.56078345,1.472
Crossject,,,0.494,,Healthcare,,0.848
Crosswood,64.28571,0.01879,0.004,0.0111,Real Estate,1.1752416,1.023
Cybergun,,-0.52166003,-0.36,,Consumer Cyclical,0.00044444445,0.314
D.L.S.I.,30.512821,0.0155299995,0.037,0.0328,Industrials,0.5288654,1.469
Damaris,,,,,Technology,,2.089763
Damartex,,-0.38316002,-0.116,,Consumer Cyclical,0.6383219,0.973
Danone,41.43226,0.06492,-0.029,0.0324,Consumer Defensive,2.4689555,0.471
Dassault Aviation,18.727983,0.13838,0.098,0.0174,Industrials,2.5367458,0.763
Dassault Systemes,40.87059,0.14167,0.027,0.0066000004,Technology,5.710998,0.591
Dbt,,-0.96112,-0.293,,Industrials,0.023693783,1.745
Dbv Technologies,,-1.03107,-0.548,,Healthcare,1.2597865,0.864
Deezer,,,0.149,,Communication Services,,-0.217
Deezer Warrants,,,,,,,
Dekuple,11.347962,0.29545,0.088,0.0287,Communication Services,4.003096,0.823
Delfingen,,-0.0385,-0.039,0.0868,Consumer Cyclical,0.24912944,1.269
Delta Plus Group,15.198134,0.12996,-0.089,0.0191,Consumer Cyclical,1.8574967,1.038
Derichebourg,8.698246,0.10168,-0.049,0.0327,Industrials,0.7945513,1.902
Devernois,,-0.14899,-0.045,,Consumer Cyclical,0.28683618,-0.604
Diagnostic Medical,,-0.61687,,,Healthcare,0.96866095,1.041
Dnxcorp,7.1428576,0.34704,0.035,0.22870001,Communication Services,2.3427515,0.531
Dock.Petr.Ambes Am,13.122476,0.07567,0.11,0.0701,Energy,0.9671979,0.352
Dolfines,,-11.97538,-0.836,,Energy,1.2535816,0.984
Dontnod,,-0.53563,-0.114,,Communication Services,0.12888011,0.485
Drone Volt,,-0.33728,-0.157,,Technology,23.326668,0.527
Dynafond,,,,,,,
Dynex Energy Sa,,-0.00066,,,Energy,0.10206859,-0.036287
E Pango,,,-0.06,,Utilities,,2.514
Easson Holdings,,,,,,,
Eaux De Royan,33.112583,0.22680001,,0.0712,Utilities,2.2438629,0.027883
Eavs,,,,,,,
Ecolutions,,,,,,,
Ecomiam,,-0.82121,-0.048,,Consumer Defensive,2.2979553,1.272
Ecoslops,3.7058823,-0.38971,0.093,,Industrials,0.3962264,0.611
Edenred,27.535088,,0.176,0.0353,Financial Services,,0.669
Ediliziacrobatica,22.285715,0.101619996,-0.037,0.019199999,Industrials,2.2707424,0.965
Editions Du Signe,,,,0.1026,Communication Services,,
Eduform Action,,1.3179,,,Financial Services,53.249996,0.615355
Eduniversal,6.25,,,,Consumer Defensive,,
Egide,,-0.46103,-0.017,,Technology,0.8541666,0.657
Eiffage,8.322826,0.19492,0.071,0.0469,Industrials,1.2821494,1.21
Ekinops,,-0.00722,-0.191,,Technology,0.75507474,1.032
Elec.Strasbourg,5.6065235,,-0.159,0.077800006,Utilities,1.5908366,0.47
Elect. Madagascar,,0.044970002,,,Financial Services,0.98113203,-0.145
Elior Group,,-0.09562001,0.26,,Consumer Cyclical,0.81784844,2.415
Elis,19.734694,0.07217,0.069,0.0225,Industrials,1.3289356,1.821
Elix,,,,,,,
Embention,105.0,,,,Technology,,
Emova Group,,-0.08242,-0.111,,Consumer Cyclical,0.23988006,1.523
Encres Dubuit,,-0.07606,0.054,0.1095,Basic Materials,0.41773102,
Enensys,,,0.398,,Technology,7.0576925,2.152
Energisme,0.043846156,,-0.327,,Technology,,0.389
Engie,7.544554,0.15176,-0.202,0.0938,Utilities,1.2975734,0.932
Enogia,0.038828634,-0.22636999,0.431,,Industrials,1.5687993,0.398
Entech,,-0.10425,0.365,,Utilities,2.7506847,0.213
Entreparticuliers,,,-0.059,,Communication Services,,-0.348
Entreprendre,3.062069,0.24074,0.142,,Communication Services,0.94609,2.061
Eo2,12.166666,0.21497,0.37,,Basic Materials,0.43169725,0.91
Equasens,13.221154,0.20833999,-0.041,0.0306,Healthcare,2.9502215,
Eramet,,-0.05836,-0.085,0.0297,Basic Materials,0.96159,1.458
Esker,94.27537,0.1532,0.13,0.0025,Technology,13.161356,1.168
Essilorluxottica,45.725643,0.06206,0.034,0.0171,Healthcare,2.6849084,0.897
Esso,2.571359,0.24607,-0.033,0.0287,Energy,0.59502643,0.521
Eurasia Fonc Inv,Infinity,0.0035100002,,,Real Estate,0.67757004,1.326
Eurasia Groupe,0.75862074,0.02234,-0.447,,Real Estate,0.075514875,0.035
Eurazeo,,-0.00858,-0.392,0.0343,Financial Services,0.67250854,1.393
Euroapi,,-0.27592,-0.095,,Healthcare,0.4695298,0.563
Eurobio-Scientific,41.29032,0.03753,0.237,,Healthcare,1.43538,-0.273
Eurofins Cerep,13.774105,0.12569,0.083,,Healthcare,,0.631
Eurofins Scient.,24.262886,0.072670005,0.065,0.0106,Healthcare,2.1230435,0.735
Euroland Corporate,56.399998,0.22735001,,0.0679,Financial Services,2.7728615,0.153552
Euromedis Groupe,0.5885486,0.45623,-0.487,,Healthcare,0.5573771,-0.416
Euronext,22.541666,0.14506,0.1,0.0231,Financial Services,2.7343256,0.842
Europacorp,33.7,,-0.099,,Communication Services,28.083334,0.695
Europlasma,,-3.7062702,1.174,,Industrials,0.017691776,771.636
Eutelsat Communic.,,-0.088240005,0.149,,Technology,0.3855065,0.381
Evergreen,,-0.15442,,,Financial Services,0.38263556,0.309
Exacompta Clairef.,7.875264,0.04171,-0.035,0.045,Industrials,0.32386234,0.288
Exail Technologies,,-0.06747,0.062,,Industrials,2.3249,0.767
Exclusive Networks,54.65909,0.042729996,-0.068,,Technology,2.2355454,0.955
Exel Industries,6.546875,0.101739995,0.02,0.0374,Industrials,0.6507121,1.178
Explosifs Prod.Chi,19.02174,0.15529999,-0.001,0.0052,Basic Materials,2.6308239,0.613
Facephi,,-0.41208,0.187,,Technology,1.654373,1.183
Fashion B Air,,-0.31329,,,Consumer Cyclical,0.062227074,1.061
Fayenc.Sarreguemi.,,,,,Consumer Defensive,1.0384094,-0.12
Fd,20.5,,,,Consumer Defensive,,
Fdj,15.423867,0.49515,0.108,0.047199998,Consumer Cyclical,6.866984,0.683
Ferm.Cas.Mun.Canne,12.033499,0.08299,0.017,,Consumer Cyclical,0.88373667,0.607
Fiducial Off.Sol.,32.183907,0.02842,0.056,0.025,Industrials,0.75412744,0.044
Fiducial Real Est.,14.159291,0.06673,-0.016,0.0188,Real Estate,0.8705803,0.127
Figeac Aero,,-0.19148001,0.155,,Industrials,3.929078,1.437
Fill Up Media,,0.19176,,,Communication Services,19.384617,
Fin.Ouest Africain,,,,,Financial Services,,
Financiere Marjos,,,,,Industrials,,0.006
Finatis,,,,,,,
Finaxo,,,,,Industrials,,
Fipp,,-0.07611,0.079,,Real Estate,0.3525,-0.069
Firstcaution,,,,,,,
Fleury Michon,6.6842103,0.09066,-0.055,0.0512,Consumer Defensive,0.52747434,0.366
Florentaise,15.062501,,0.322,,Basic Materials,0.6397664,
Fnac Darty,47.166664,0.014570001,0.014,0.016,Consumer Cyclical,0.5315352,1.595
Fnptechnologiessa,,-0.0085,,,Technology,0.16438356,1.825439
Fonciere 7 Invest,,,,,,,
Fonciere Euris,,,,,,,
Fonciere Inea,,-0.00596,0.163,0.0857,Real Estate,0.61185765,0.213
Fonciere Lyonnaise,,-0.0855,0.087,0.033,Real Estate,0.89134586,0.366
Fonciere Vindi,59.999996,,,,Real Estate,,
Fonciere Volta,79.5,-0.0508,0.844,,Real Estate,0.6946871,0.133
Forestiere Equat.,142.85713,0.0309,42.0,0.0055,Industrials,0.00893321,0.304
Forsee Power,,-0.23507999,0.072,,Consumer Cyclical,0.52915084,1.077
Forvia,8.008928,0.06291,-0.006,0.0581,Consumer Cyclical,0.39621893,1.81
Fountaine Pajot,9.495146,0.20832,0.473,0.0232,Consumer Cyclical,1.8449001,1.319
Francaise Energie,11.451612,0.11134,-0.214,,Energy,1.3735732,0.616
France Soir Groupe,,,,,,,
France Tourisme,,-0.4975,,,Real Estate,5.1666665,1.731092
Freelance.Com,8.09375,0.10176,0.232,0.031,Industrials,0.95395947,1.466
Frey,34.457832,0.02932,0.358,0.0629,Real Estate,0.8645969,-0.022
G.A.I.,,-0.0092,,,Industrials,0.3757807,0.174942
Galeo,7.0555553,0.110360004,,,Consumer Defensive,0.4665687,2.335752
Galimmo,,-0.00266,0.037,0.024300002,Real Estate,0.9925043,0.002
Gascogne,,-0.020399999,-0.148,,Consumer Cyclical,0.37759402,0.746
Gaumont,,-0.04092,0.035,,Communication Services,1.3697526,0.216
Gaussin,,-5.6645,-0.422,,Consumer Cyclical,,1.264
Gea Grenobl.Elect.,51.048954,0.02527,0.279,0.0178,Industrials,1.5371982,0.545
Geci Intl,Infinity,0.45400003,0.034,,Technology,0.23232658,1.619
Gecina,,-0.09915,0.027,0.056700002,Real Estate,0.6673087,1.113
Geneuro,,,,,Healthcare,,0.342
Genfit,9.918919,0.25913998,3.044,,Healthcare,1.8762782,1.122
Genoway,18.666668,0.07197,0.135,,Healthcare,2.139738,0.55
Gensight Biologics,,,-0.364,,Healthcare,,2.33
Gentlemens Equity,Infinity,,,,Financial Services,,
Getlink Se,25.357143,0.1459,-0.135,0.0343,Industrials,3.6282082,0.894
Gevelot,12.956581,0.05214,-0.089,0.026600001,Industrials,0.6453074,0.452
Gl Events,7.3480177,0.13229999,0.194,0.0421,Industrials,1.1157937,1.455
